startup_id,company_age_years,founder_count,employees_size_numeric,funding_rounds,investor_count,total_funding_usd,funding_per_round,employee_size_category,city,state,primary_industry,startup_stage,launch_year,last_funding_date,success_label,success_score,risk_level,estimated_revenue_usd,growth_rate_percent,is_active
ST_00020,15.0,1,2,5,11,1476018002.9843023,295203600.59686047,Small (1-10),Hyderabad,Telangana,HealthTech,Scale Stage,2009,2025-12-26,Low,34,High Risk,113080.36679976125,32.46338923805084,True
ST_00021,11.927195748706456,3,2,8,12,264363480.99127603,33045435.123909503,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2012,2025-12-25,Low,27,High Risk,77010.09085239479,29.377551317947763,True
ST_00022,15.0,4,2,7,10,33163391356.5518,4737627336.650257,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2009,2024-10-21,Low,48,High Risk,50389.253657546986,35.39053874624554,True
ST_00023,11.749727823728485,3,2,8,12,10154369015.502165,1269296126.9377706,Small (1-10),Chennai,Tamil Nadu,DeepTech,Scale Stage,2012,2025-11-10,Low,31,High Risk,84982.46173247018,17.00244024973911,True
ST_00024,4.866287754683539,3,2,7,9,63755619021.93071,9107945574.56153,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2019,2025-12-01,Low,23,High Risk,177622.62767542194,8.076066858905035,True
ST_00025,11.72042232937207,1,2,8,14,841186201.3782028,105148275.17227535,Small (1-10),Pune,Maharashtra,AI/ML,Scale Stage,2012,2025-11-29,Low,24,High Risk,50406.63491214945,9.084362244958847,True
ST_00026,12.118709516877878,2,2,8,14,18206135053.454727,2275766881.681841,Small (1-10),Hyderabad,Telangana,E-commerce,Scale Stage,2011,2025-10-01,Low,25,High Risk,130967.15928719495,20.356063638591866,True
ST_00027,5.107205192249373,1,2,6,14,13365070684.235733,2227511780.7059555,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2018,2025-11-06,Low,25,High Risk,130472.20272268922,18.25875479449205,True
ST_00028,6.119365720280612,3,2,7,12,2741736998.438405,391676714.0626293,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2017,2026-01-17,Low,47,High Risk,138944.43578882323,8.577443247881986,True
ST_00029,15.0,1,2,6,10,601051922.7120782,100175320.45201303,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2009,2025-04-03,Low,40,High Risk,140558.22975952082,8.999355501949072,True
ST_00030,15.0,5,2,5,11,605966249.0537837,121193249.81075673,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2009,2025-08-11,Low,32,High Risk,109597.71731863968,19.937611686786227,True
ST_00031,8.06986486708694,4,2,8,17,1990497048.7710295,248812131.09637868,Small (1-10),Delhi NCR,Delhi,FinTech,Scale Stage,2015,2026-01-01,Low,34,High Risk,135416.52766452506,36.0611168879726,True
ST_00032,7.261129859388842,5,2,8,10,1606338836.5447364,200792354.56809205,Small (1-10),Hyderabad,Telangana,HealthTech,Scale Stage,2016,2025-10-09,Low,31,High Risk,82926.57876214379,39.10915428196045,True
ST_00033,11.667440628247139,2,2,8,11,103818792137.09077,12977349017.136347,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2012,2025-12-25,Low,44,High Risk,89974.75900563234,30.626460246067182,True
ST_00034,10.427470984887574,4,2,7,14,55211537006.0665,7887362429.438071,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2013,2025-11-27,Low,22,High Risk,176229.44904650652,34.6242747260095,False
ST_00035,13.219646398473127,2,2,6,7,3904276862.0103807,650712810.3350635,Small (1-10),Hyderabad,Telangana,HealthTech,Scale Stage,2010,2025-12-25,Low,29,High Risk,153584.03486684608,23.24552335947493,True
ST_00036,7.110794401492481,5,2,7,10,6878595391.813603,982656484.5448005,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2016,2025-01-29,Low,26,High Risk,118271.5527554234,23.285210162490912,True
ST_00037,4.916080811108358,4,2,8,9,3033584915.2534275,379198114.40667844,Small (1-10),Ahmedabad,Gujarat,E-commerce,Scale Stage,2019,2023-01-04,Low,39,High Risk,57902.57539658429,8.099019371476635,True
ST_00038,5.181797292698423,2,2,3,9,2689212459.1571693,896404153.0523897,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2018,2025-10-25,Low,43,High Risk,68665.63359452845,38.474549414579876,True
ST_00039,14.802563057111453,5,2,7,15,441734172.17897344,63104881.739853345,Small (1-10),Kolkata,West Bengal,FinTech,Scale Stage,2009,2025-03-22,Low,25,High Risk,143440.6074402678,31.175506143228,True
ST_00040,15.0,4,2,7,11,6599879796.017639,942839970.8596628,Small (1-10),Chennai,Tamil Nadu,Manufacturing,Scale Stage,2009,2025-02-12,Low,27,High Risk,182435.94037061918,23.06276571552658,True
ST_00041,15.0,5,2,7,11,3066781748.7743096,438111678.39632994,Small (1-10),Chennai,Tamil Nadu,DeepTech,Scale Stage,2009,2025-03-20,Low,33,High Risk,163495.3705677402,14.05409157442678,True
ST_00042,15.0,1,2,4,5,325281260.5733991,81320315.14334978,Small (1-10),Mumbai,Maharashtra,Media,Scale Stage,2009,2025-11-06,Low,47,High Risk,76924.59851357501,31.37945919176817,True
ST_00043,14.413089827780615,3,2,8,12,20126862316.3826,2515857789.547825,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2009,2025-12-19,Low,42,High Risk,173888.1148699845,15.44310508464974,True
ST_00044,10.258794138745882,2,2,8,10,2843074343.783666,355384292.97295827,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2013,2025-07-27,Low,31,High Risk,54878.92692368779,37.22967467354904,True
ST_00045,10.00526649992294,1,2,8,9,5101797932.768208,637724741.596026,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2013,2025-06-04,Low,30,High Risk,154247.28291898136,35.10428390162216,True
ST_00046,6.987041414145217,1,2,7,10,5314899290.707889,759271327.2439841,Small (1-10),Bengaluru,Karnataka,E-commerce,Scale Stage,2017,2025-11-02,Low,26,High Risk,69907.36310645906,24.863929689154535,True
ST_00047,7.495071169132883,1,2,8,13,11386473379.75555,1423309172.4694438,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2016,2025-06-02,Low,31,High Risk,87065.48510152196,10.584063803961591,True
ST_00048,15.0,2,2,8,14,3114617350.4707775,389327168.8088472,Small (1-10),Mumbai,Maharashtra,HealthTech,Scale Stage,2009,2025-09-16,Low,37,High Risk,180054.72441836726,25.253639300033768,True
ST_00049,9.91171970586547,3,2,8,14,231165262.12875637,28895657.766094547,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2014,2025-07-14,Low,44,High Risk,195411.84835029312,14.034670144539463,True
ST_00050,12.159039905001034,2,2,7,10,13267124691.475586,1895303527.353655,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2011,2025-11-02,Low,31,High Risk,121194.63136247208,34.5459657139219,True
ST_00051,15.0,1,2,5,9,7409251011.259032,1481850202.2518065,Small (1-10),Chennai,Tamil Nadu,HealthTech,Scale Stage,2009,2025-11-29,Low,30,High Risk,123326.98703853802,28.340249014113652,True
ST_00052,13.852614065565593,1,2,8,11,1511500502.5000403,188937562.81250504,Small (1-10),Ahmedabad,Gujarat,AgriTech,Scale Stage,2010,2024-10-26,Low,20,High Risk,82351.27285965758,28.060991458143,True
ST_00053,6.645739864333352,2,2,8,9,1179767530.8613744,147470941.3576718,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2017,2025-10-26,Low,48,High Risk,117304.04339337959,13.314044580601461,True
ST_00054,4.450081859359597,1,2,6,11,22181633160.65645,3696938860.109408,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2019,2025-05-18,Low,31,High Risk,193328.5543932402,5.638140393672657,True
ST_00055,9.073350568794668,1,2,8,12,14773257929.261496,1846657241.157687,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2014,2025-12-15,Low,43,High Risk,169011.0887221756,11.482995629159339,True
ST_00056,5.9058674985297195,1,2,2,8,18542946013.297096,9271473006.648548,Small (1-10),Chennai,Tamil Nadu,SaaS,Scale Stage,2018,2025-11-03,Low,45,High Risk,88346.74967139085,15.572117564217827,True
ST_00057,13.71220798651938,2,2,8,12,3735137629.3717318,466892203.67146647,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2010,2025-10-19,Low,41,High Risk,116868.63718658435,30.358089798951635,True
ST_00058,6.9756448395963035,3,2,8,13,8981532283.786009,1122691535.473251,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2017,2023-07-10,Low,21,High Risk,104441.6407768988,39.841817174648995,True
ST_00059,15.0,1,2,7,11,25316408961.95034,3616629851.7071915,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2009,2025-09-10,Low,25,High Risk,88557.08996481198,32.576569590229276,True
ST_00060,15.0,2,2,8,15,1264809459.4853556,158101182.43566945,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2009,2026-01-05,Low,40,High Risk,53434.07374641804,10.382690238381088,True
ST_00061,11.126637467736895,3,2,8,10,18184837203.58844,2273104650.448555,Small (1-10),Chennai,Tamil Nadu,Manufacturing,Scale Stage,2012,2025-12-31,Low,25,High Risk,50049.87591807342,5.619073336464003,True
ST_00062,11.498120503361234,2,2,8,12,2773559482.2322655,346694935.2790332,Small (1-10),Bengaluru,Karnataka,E-commerce,Scale Stage,2012,2025-11-16,Low,39,High Risk,148358.55088424846,34.68055598372905,True
ST_00063,8.145239644524743,3,2,8,13,5272145509.277958,659018188.6597447,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2015,2025-10-03,Low,39,High Risk,89902.89170080711,10.223322228256164,True
ST_00064,8.132424228622636,4,2,8,13,29514599806.258255,3689324975.782282,Small (1-10),Chennai,Tamil Nadu,HealthTech,Scale Stage,2015,2025-09-11,Low,38,High Risk,65854.02198594112,39.589634485004595,True
ST_00065,15.0,1,2,8,12,2022998377.43455,252874797.17931876,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2009,2025-09-06,Low,49,High Risk,184372.1896057823,16.27754262056199,True
ST_00066,6.225637470664671,1,2,4,7,4069665076.4108744,1017416269.1027186,Small (1-10),Mumbai,Maharashtra,Media,Scale Stage,2017,2024-08-23,Low,49,High Risk,189247.62992728653,28.65937964552244,True
ST_00067,5.101214525417804,3,2,5,10,1833530792.9230933,366706158.5846187,Small (1-10),Ahmedabad,Gujarat,E-commerce,Scale Stage,2018,2025-09-16,Low,43,High Risk,101357.54540503197,19.469575725334153,True
ST_00068,12.44069642561324,2,2,8,16,9492976364.415344,1186622045.551918,Small (1-10),Hyderabad,Telangana,HealthTech,Scale Stage,2011,2025-10-30,Low,30,High Risk,163439.69868371787,34.468963002384804,True
ST_00069,5.552234898469221,3,2,2,3,1793812934.5167208,896906467.2583604,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2018,2025-08-14,Low,23,High Risk,126516.45687482378,30.31916679643002,True
ST_00070,8.247064578259911,2,2,8,13,3819354313.12375,477419289.1404688,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2015,2025-08-09,Low,46,High Risk,164988.2785957465,30.676554051480935,True
ST_00071,13.878860041453896,1,2,8,13,9098206149.629204,1137275768.7036505,Small (1-10),Pune,Maharashtra,SaaS,Scale Stage,2010,2025-05-31,Low,37,High Risk,186408.52880125944,32.30745722005358,True
ST_00072,12.885930552158118,1,2,5,6,3388167461.570114,677633492.3140228,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2011,2025-11-30,Low,35,High Risk,105681.06408349975,20.011040760136353,True
ST_00073,6.863784659864722,1,2,8,14,1747975479.3759751,218496934.9219969,Small (1-10),Mumbai,Maharashtra,E-commerce,Scale Stage,2017,2024-04-17,Low,31,High Risk,102425.95581302281,8.993352471077667,True
ST_00074,15.0,1,2,7,13,38722988128.96467,5531855446.994952,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2009,2025-05-16,Low,31,High Risk,59340.965882282835,22.93759270696161,True
ST_00075,7.16070642012503,2,2,8,12,9683752176.290283,1210469022.0362854,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2016,2026-01-03,Low,24,High Risk,194671.49808512174,12.131826069469119,True
ST_00076,6.725312486955328,3,2,8,12,41813129024.5634,5226641128.070425,Small (1-10),Pune,Maharashtra,SaaS,Scale Stage,2017,2025-02-05,Low,28,High Risk,170540.53031623026,22.68223707518234,False
ST_00077,12.378816288112041,2,2,8,14,50267131893.029045,6283391486.628631,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2011,2025-11-29,Low,41,High Risk,174237.38786558277,16.732281657980543,True
ST_00078,9.836617527188457,2,2,8,10,3558156264.9958324,444769533.12447906,Small (1-10),Chennai,Tamil Nadu,SaaS,Scale Stage,2014,2023-09-10,Low,42,High Risk,91891.41326816157,27.500866852054767,True
ST_00079,3.304495561371142,1,2,7,12,6368443319.3754835,909777617.0536405,Small (1-10),Mumbai,Maharashtra,Media,Scale Stage,2020,2025-04-04,Low,46,High Risk,113382.2642467917,6.470863630999185,True
ST_00080,15.0,3,2,8,11,11847601432.35359,1480950179.0441988,Small (1-10),Bengaluru,Karnataka,E-commerce,Scale Stage,2009,2025-11-21,Low,33,High Risk,139753.62264466382,15.403323269801602,True
ST_00081,15.0,2,2,7,10,10290392562.16113,1470056080.308733,Small (1-10),Hyderabad,Telangana,E-commerce,Scale Stage,2009,2024-07-08,Low,27,High Risk,127616.9527632562,20.064959361234656,True
ST_00082,15.0,4,2,8,10,52933054369.711586,6616631796.213948,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2009,2024-11-18,Low,38,High Risk,91522.14616869588,39.00364418153677,True
ST_00083,4.541069435183258,2,2,1,1,1657925881.7073255,1657925881.7073255,Small (1-10),Hyderabad,Telangana,HealthTech,Growth Stage,2019,2025-12-07,Low,29,High Risk,94023.32348121825,94.54029755462531,True
ST_00084,6.723838370608955,1,2,8,16,9158127916.91442,1144765989.6143024,Small (1-10),Pune,Maharashtra,Manufacturing,Scale Stage,2017,2025-06-07,Low,34,High Risk,58928.70505216575,26.132840853228572,True
ST_00085,8.987499183365008,2,2,8,9,18691465011.93767,2336433126.492209,Small (1-10),Pune,Maharashtra,AI/ML,Scale Stage,2015,2025-12-18,Low,25,High Risk,68083.76246055354,36.58586575500446,True
ST_00086,12.14457659905349,1,2,6,13,4415619222.337966,735936537.0563277,Small (1-10),Hyderabad,Telangana,E-commerce,Scale Stage,2011,2025-12-05,Low,22,High Risk,117518.50417728984,25.274322383718438,True
ST_00087,10.074330184002044,2,2,7,12,9281555138.61831,1325936448.3740444,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2013,2025-06-25,Low,32,High Risk,195803.78847448868,12.997036136416977,False
ST_00088,15.0,1,2,8,12,5816566689.959338,727070836.2449173,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2009,2025-10-24,Low,32,High Risk,195611.3230515872,32.07386120370974,False
ST_00089,15.0,1,2,8,14,36403966899.99454,4550495862.499317,Small (1-10),Delhi NCR,Delhi,Logistics,Scale Stage,2009,2025-10-22,Low,47,High Risk,177883.66728523304,29.88096508388117,True
ST_00090,7.216334647345841,1,2,6,10,29358616519.81711,4893102753.302852,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2016,2025-08-14,Low,45,High Risk,123712.72662928353,23.285545089191256,True
ST_00091,15.0,4,2,7,11,20440565316.657303,2920080759.522472,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2009,2025-06-25,Low,30,High Risk,180807.25076705115,23.45291632939301,True
ST_00092,6.293652571014551,4,2,2,9,1962914886.3258185,981457443.1629093,Small (1-10),Mumbai,Maharashtra,HealthTech,Scale Stage,2017,2025-10-18,Low,25,High Risk,95920.601131939,24.219561769701045,True
ST_00093,15.0,1,2,7,12,3419749493.604275,488535641.9434679,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2009,2025-09-26,Low,20,High Risk,132347.06741624625,12.67458866733565,True
ST_00094,6.947019724197211,1,2,8,12,14768517893.19926,1846064736.6499076,Small (1-10),Chennai,Tamil Nadu,SaaS,Scale Stage,2017,2025-07-26,Low,30,High Risk,90732.05711168634,19.08563231017841,True
ST_00095,14.777960060360948,5,2,8,12,3937033148.3652854,492129143.5456607,Small (1-10),Chennai,Tamil Nadu,Manufacturing,Scale Stage,2009,2024-05-22,Low,31,High Risk,69440.0976793163,28.66378809950439,False
ST_00096,7.328723616746094,2,2,5,10,4643807551.466097,928761510.2932193,Small (1-10),Chennai,Tamil Nadu,DeepTech,Scale Stage,2016,2025-01-04,Low,20,High Risk,169436.08933442816,31.39080622249338,True
ST_00097,15.0,1,2,6,12,8421324271.503977,1403554045.2506628,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2009,2025-10-19,Low,36,High Risk,185909.8828529548,14.333631883169215,True
ST_00098,11.093406834371473,1,2,7,10,2768651445.527587,395521635.07536954,Small (1-10),Mumbai,Maharashtra,E-commerce,Scale Stage,2012,2025-09-11,Low,39,High Risk,146278.99382830333,24.97273683583272,True
ST_00099,15.0,5,2,8,15,23316720795.139996,2914590099.3924994,Small (1-10),Chennai,Tamil Nadu,Manufacturing,Scale Stage,2009,2025-04-22,Low,32,High Risk,91435.59874627297,39.35786633483568,True
ST_00100,15.0,2,2,7,16,1795453481.5380025,256493354.50542894,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2009,2026-01-12,Low,49,High Risk,179594.23711025153,21.84666817874827,True
ST_00101,6.383645356673338,4,2,8,9,13544398267.242794,1693049783.4053493,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2017,2024-06-19,Low,40,High Risk,192934.5193996741,38.84684384991122,True
ST_00102,15.0,3,2,8,12,5289890829.121225,661236353.6401532,Small (1-10),Chennai,Tamil Nadu,DeepTech,Scale Stage,2009,2025-10-21,Low,46,High Risk,193227.0489557702,22.313631635694914,True
ST_00103,15.0,1,2,6,12,13420491932.952713,2236748655.492119,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2009,2025-12-17,Low,21,High Risk,151932.48907008625,12.871157588556937,True
ST_00104,15.0,3,2,8,13,9551215703.930216,1193901962.991277,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2009,2025-11-09,Low,21,High Risk,166085.93326559977,17.341091207510036,True
ST_00105,1.8257628750356667,1,2,2,5,20816281936.13982,10408140968.06991,Small (1-10),Bengaluru,Karnataka,FinTech,Growth Stage,2022,2025-11-16,Low,48,High Risk,115622.28899123146,90.61875045387376,True
ST_00106,6.3622724043187056,1,2,8,13,45126878305.162575,5640859788.145322,Small (1-10),Mumbai,Maharashtra,E-commerce,Scale Stage,2017,2025-09-01,Low,29,High Risk,53100.70533378567,14.415687637940866,True
ST_00107,15.0,4,2,8,10,3935298015.30486,491912251.9131075,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2009,2025-12-12,Low,32,High Risk,82009.00219635344,28.28011679834419,True
ST_00108,15.0,1,2,8,13,122844143945.89383,15355517993.236729,Small (1-10),Pune,Maharashtra,EdTech,Scale Stage,2009,2024-05-16,Low,38,High Risk,114439.39153640969,15.80920484025693,True
ST_00109,13.589264234229377,4,2,8,9,4127581419.7518215,515947677.4689777,Small (1-10),Ahmedabad,Gujarat,Manufacturing,Scale Stage,2010,2025-05-28,Low,33,High Risk,140825.7149923815,13.649604413148717,True
ST_00110,4.898249207946118,1,2,6,13,866710526.6569021,144451754.442817,Small (1-10),Mumbai,Maharashtra,Media,Scale Stage,2019,2025-12-16,Low,25,High Risk,132167.7041574979,39.26351274643864,True
ST_00111,12.956912234041525,2,2,8,11,151834690107.0488,18979336263.3811,Small (1-10),Pune,Maharashtra,SaaS,Scale Stage,2011,2025-11-30,Low,29,High Risk,117602.97124083697,28.52196135632887,True
ST_00112,15.0,2,2,6,13,1491366686.832613,248561114.47210217,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2009,2024-03-12,Low,36,High Risk,124706.05895853035,30.99887412172107,True
ST_00113,13.028745236597143,4,2,8,9,1642011454.1815507,205251431.77269384,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2010,2025-07-03,Low,37,High Risk,105830.05877378289,16.65622051318894,True
ST_00114,3.422897072750559,2,2,5,11,31217476376.533077,6243495275.306616,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2020,2025-07-25,Low,30,High Risk,145693.13940271083,34.177509695038545,True
ST_00115,5.28450327264097,4,2,4,7,12392505338.529242,3098126334.6323104,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2018,2026-01-07,Low,29,High Risk,191379.6961280175,31.13718238368013,True
ST_00116,9.600191197641463,3,2,8,11,21105439249.468384,2638179906.183548,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2014,2025-12-13,Low,41,High Risk,169172.8450472736,35.953179145804,True
ST_00117,2.556328180438546,1,2,3,10,147123523.68863732,49041174.56287911,Small (1-10),Mumbai,Maharashtra,HealthTech,Growth Stage,2021,2024-12-18,Low,33,High Risk,68224.30866316482,70.77114051899045,True
ST_00118,14.695554241181167,1,2,8,11,3406987657.5978217,425873457.1997277,Small (1-10),Ahmedabad,Gujarat,FinTech,Scale Stage,2009,2025-08-06,Low,48,High Risk,100580.98633486281,9.999468768501615,True
ST_00119,7.950558418478251,2,2,5,8,7544349153.525626,1508869830.7051253,Small (1-10),Chennai,Tamil Nadu,Manufacturing,Scale Stage,2016,2025-01-12,Low,28,High Risk,122764.19899693102,16.6769938542903,True
ST_00120,15.0,1,2,8,12,6695056697.484869,836882087.1856086,Small (1-10),Kolkata,West Bengal,FinTech,Scale Stage,2009,2026-01-13,Low,22,High Risk,83016.69888571298,17.268218700015666,True
ST_00121,9.439375963492118,4,2,6,12,10404133606.240564,1734022267.7067606,Small (1-10),Pune,Maharashtra,EdTech,Scale Stage,2014,2025-10-25,Low,47,High Risk,79246.2799850434,36.164333102676494,True
ST_00122,6.298429236831119,5,2,6,9,830485313.7579281,138414218.9596547,Small (1-10),Pune,Maharashtra,AI/ML,Scale Stage,2017,2025-10-07,Low,42,High Risk,148926.61529611552,32.868450768947895,True
ST_00123,5.483769232596569,3,2,8,11,10026190953.17799,1253273869.1472487,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2018,2025-04-20,Low,44,High Risk,184687.87804364986,36.08413661269125,True
ST_00124,4.129149105861975,5,2,4,5,9841328554.9294,2460332138.73235,Small (1-10),Mumbai,Maharashtra,E-commerce,Scale Stage,2019,2025-10-19,Low,49,High Risk,96916.6983815531,27.90197019224519,True
ST_00125,15.0,1,2,8,15,138088179128.20123,17261022391.025154,Small (1-10),Pune,Maharashtra,SaaS,Scale Stage,2009,2025-12-31,Low,30,High Risk,75103.55483551715,22.51258061754462,True
ST_00126,7.795175357203734,3,2,6,15,67368028271.12698,11228004711.854498,Small (1-10),Delhi NCR,Delhi,EdTech,Scale Stage,2016,2025-07-19,Low,41,High Risk,137478.62064156463,25.749406317783855,True
ST_00127,6.504483966336162,4,2,8,11,10184319241.69796,1273039905.212245,Small (1-10),Ahmedabad,Gujarat,E-commerce,Scale Stage,2017,2025-08-29,Low,21,High Risk,60655.23335660032,12.377758554251002,True
